,jan_payments,feb_payments,mar_payments,apr_payments,may_payments,jun_payments,jul_payments,aug_payments,sep_payments,oct_payments,nov_payments,dec_payments,jan_mandates,feb_mandates,mar_mandates,apr_mandates,may_mandates,jun_mandates,jul_mandates,aug_mandates,sep_mandates,oct_mandates,nov_mandates,dec_mandates,company
740,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,46.0,9.0,9.0,10.0,6.0,4.0,12.0,5.0,8.0,5.0,2.0,12.0,contractor
741,0.0,0.0,0.0,7.0,11.0,9.0,7.0,7.0,9.0,9.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
742,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,17.0,13.0,19.0,14.0,16.0,24.0,22.0,26.0,20.0,18.0,13.0,11.0,art/cinema
743,35.0,36.0,43.0,42.0,40.0,40.0,39.0,45.0,49.0,49.0,52.0,51.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
744,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,contractor
745,0.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,6.0,6.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,0.0,3.0,1.0,1.0,6.0,1.0,3.0,contractor
746,0.0,0.0,0.0,0.0,3.0,17.0,10.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
747,27.0,9.0,0.0,14.0,32.0,17.0,15.0,3.0,6.0,30.0,5.0,3.0,0.0,0.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,contractor
748,0.0,0.0,1.0,5.0,7.0,2.0,9.0,5.0,12.0,5.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,contractor
749,33.0,34.0,45.0,50.0,59.0,64.0,68.0,87.0,89.0,95.0,96.0,98.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,art/cinema
750,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,contractor
751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
752,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,6.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,art/cinema
753,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,5.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
